date,Total_Sales,total_sales_log
2018-02-21,32030000,17.282183521585342
2018-02-23,180000,12.100712129872347
2018-03-14,1870938994,21.349706277613777
2018-03-15,3309334994,21.920013097993536
2018-03-16,4043241998,22.120312681861233
2018-03-17,2895672996,21.78648338934856
2018-03-18,3002791500,21.82280819296776
2018-03-19,3023949999,21.829829760404774
2018-03-20,259605000,19.374671803009345
2018-03-21,4006254998,22.11112272618318
2018-03-22,6620400992,22.61342177787054
2018-03-23,8153758997,22.821744884492645
2018-03-24,9204124994,22.942917589427143
2018-03-25,9307839998,22.954122892509446
2018-03-26,10144504996,23.04019801613087
2018-03-27,12001784999,23.208321225588907
2018-03-28,10984660996,23.119765681678658
2018-03-29,10792834000,23.102148232332233
2018-03-30,11418253997,23.15847913955547
2018-03-31,11032417000,23.12410377585285
2018-04-01,11171630000,23.13664336597035
2018-04-02,5764105000,22.474915731434077
2018-04-03,11048219984,23.125535164513387
2018-04-04,9625554998,22.987687377587733
2018-04-05,11532401996,23.168426475289472
2018-04-06,11401619992,23.157021286812366
2018-04-07,5903064996,22.498737543816887
2018-04-08,5766564998,22.47534241922199
2018-04-09,5884190000,22.49553493012279
2018-04-10,12602134995,23.25713208059744
2018-04-11,9049655998,22.92599258266508
2018-04-12,11698252500,23.1827053086206
2018-04-13,12910364996,23.281296313752325
2018-04-14,11861714997,23.196581823518915
2018-04-15,5070405000,22.346686533015937
2018-04-16,5134028496,22.35915646982795
2018-04-17,12316414996,23.234198762121395
2018-04-18,8624682000,22.877893929618917
2018-04-19,11621659998,23.17613643513783
2018-04-20,12101614996,23.21660475138648
2018-04-21,5568649998,22.440418491311714
2018-04-22,5638904996,22.452955733961506
2018-04-23,5842359998,22.48840066140297
2018-04-24,12296929995,23.232615474268602
2018-04-25,8341859998,22.84455204979443
2018-04-26,11751439994,23.187241622708463
2018-04-27,11999280000,23.20811248493434
2018-04-28,5761845000,22.474523572865113
2018-04-29,5567705000,22.44024877725313
2018-04-30,4726170000,22.2763809862872
2018-05-01,11017775000,23.12277571465936
2018-05-02,10810695237,23.103801780775523
2018-05-03,10989090253,23.120168822408683
2018-05-04,11259920000,23.14451535483698
2018-05-05,4815149997,22.295033033736207
2018-05-06,4664445000,22.263234693107005
2018-05-07,4651608998,22.26047901776946
2018-05-08,11195134999,23.138745145789986
2018-05-09,6310069997,22.565412606464946
2018-05-10,9888444995,23.014632740188762
2018-05-11,10475870000,23.072340354198346
2018-05-12,4811955000,22.29436928339417
2018-05-13,4527390000,22.233411451457613
2018-05-14,4192259998,22.156505804465507
2018-05-15,10748149993,23.09799948303585
2018-05-16,6180204998,22.54461727906327
2018-05-17,7121884999,22.68643827438154
2018-05-18,8441121992,22.856381074159636
2018-05-19,3849370000,22.071175335492576
2018-05-20,3944684992,22.095634938119446
2018-05-21,3808440000,22.06048549341907
2018-05-22,8282519988,22.837413105416427
2018-05-23,5199844999,22.371894654204915
2018-05-24,7425150000,22.72813872345132
2018-05-25,7280050000,22.70840356726329
2018-05-26,3502782000,21.976823346852996
2018-05-27,3331609999,21.926721507281613
2018-05-28,3387764996,21.943436247694088
2018-05-29,6720330000,22.62840309741861
2018-05-30,4010374997,22.112150589353938
2018-05-31,5626835000,22.45081295406022
2018-06-01,6330288996,22.568611727036643
2018-06-02,3240950000,21.89913233364958
2018-06-03,1080955000,20.8011107466149
2018-06-05,71400000,18.083808427309812
2018-06-07,3007924998,21.82451630854761
2018-06-08,3840015000,22.068742109788417
2018-06-09,2320559997,21.565074371514886
2018-06-10,2249234999,21.53385599490504
2018-06-11,2184359996,21.504588714578883
2018-06-12,4830610000,22.298238590632337
2018-06-13,3207299997,21.88869529771647
2018-06-14,4224055998,22.16406164036477
2018-06-15,2629016000,21.68987546863988
2018-06-16,5224390000,22.37660388157041
2018-06-17,2560324998,21.663400039723864
2018-06-18,2486669999,21.634210302573504
2018-06-19,6612564999,22.612237463798962
